"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation","external_gene_name","description"
"ENSG00000005073",64.5380289188263,-4.13751839394631,0.81979369460671,-5.04702392951589,4.48745164820878e-07,0.000168588916231844,"Downregulated","HOXA11","homeobox A11 [Source:HGNC Symbol;Acc:HGNC:5101]"
"ENSG00000005100",2497.77016293995,-1.03258353813061,0.287936737443891,-3.58614724643056,0.000335599509922247,0.0165855949505425,"Downregulated","DHX33","DEAH-box helicase 33 [Source:HGNC Symbol;Acc:HGNC:16718]"
"ENSG00000006377",140.054922401761,-3.32975913863078,0.949073664177512,-3.50843065645112,0.000450758726642727,0.0201826726197908,"Downregulated","DLX6","distal-less homeobox 6 [Source:HGNC Symbol;Acc:HGNC:2919]"
"ENSG00000007264",542.843065554885,-2.08254964993579,0.475826871946868,-4.37669617399904,1.2049174616657e-05,0.0018048234208475,"Downregulated","MATK","megakaryocyte-associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6906]"
"ENSG00000008438",3.87198155118211,-1.96048993585901,0.627747868360843,-3.12305311522313,0.00178985443805114,0.047951960907952,"Downregulated","PGLYRP1","peptidoglycan recognition protein 1 [Source:HGNC Symbol;Acc:HGNC:8904]"
"ENSG00000012048",907.967590988564,-1.60709819069885,0.398711532242148,-4.03072913808477,5.56040920575794e-05,0.00515112606308338,"Downregulated","BRCA1","BRCA1 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1100]"
"ENSG00000013810",8202.40318806273,-1.4276270313369,0.33369815499813,-4.27819875523404,1.88411753537925e-05,0.00246329526575483,"Downregulated","TACC3","transforming acidic coiled-coil containing protein 3 [Source:HGNC Symbol;Acc:HGNC:11524]"
"ENSG00000018510",5692.86146888756,-1.12737266815156,0.275196411125952,-4.09661108420338,4.19242357757176e-05,0.00422930137755966,"Downregulated","AGPS","alkylglycerone phosphate synthase [Source:HGNC Symbol;Acc:HGNC:327]"
"ENSG00000023608",1613.45256975638,-1.48068804811546,0.31712544245788,-4.66909257308208,3.02533041179903e-06,0.000681951203514837,"Downregulated","SNAPC1","small nuclear RNA activating complex polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:11134]"
"ENSG00000024526",1615.78605230864,-1.0365847419486,0.327739785502356,-3.16282852373182,0.00156244333635499,0.0437604631094799,"Downregulated","DEPDC1","DEP domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22949]"
"ENSG00000038382",9118.40436210959,-1.04523787414212,0.289735304356795,-3.60756131001198,0.000309088515568777,0.0157115989601329,"Downregulated","TRIO","trio Rho guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:12303]"
"ENSG00000039139",595.795160518559,-1.31171157327575,0.382440959309875,-3.42984071487209,0.000603935669327701,0.0240434072496661,"Downregulated","DNAH5","dynein axonemal heavy chain 5 [Source:HGNC Symbol;Acc:HGNC:2950]"
"ENSG00000040275",2992.27901025859,-1.61268396676445,0.322759826446549,-4.99654490622154,5.83665886822137e-07,0.000205130317320232,"Downregulated","SPDL1","spindle apparatus coiled-coil protein 1 [Source:HGNC Symbol;Acc:HGNC:26010]"
"ENSG00000041982",9043.28921522667,-2.21471607798992,0.585334502899149,-3.78367594430275,0.000154528995498698,0.0100813976404689,"Downregulated","TNC","tenascin C [Source:HGNC Symbol;Acc:HGNC:5318]"
"ENSG00000043355",397.104012917926,-2.65340161314676,0.80240681338464,-3.30680344294987,0.00094367082193132,0.0319294832451607,"Downregulated","ZIC2","Zic family member 2 [Source:HGNC Symbol;Acc:HGNC:12873]"
"ENSG00000051341",1521.83666522576,-1.01276833008648,0.294111912139436,-3.44347946575633,0.000574280202232147,0.0233655943671231,"Downregulated","POLQ","DNA polymerase theta [Source:HGNC Symbol;Acc:HGNC:9186]"
"ENSG00000058085",22686.3222442257,-2.36752024890174,0.480299501625451,-4.92925818346568,8.25424327536359e-07,0.000257798206335485,"Downregulated","LAMC2","laminin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:6493]"
"ENSG00000065618",175.859226814842,-3.12607209796349,0.583821392086604,-5.35450077769636,8.57929518972427e-08,4.38147286368965e-05,"Downregulated","COL17A1","collagen type XVII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2194]"
"ENSG00000068489",2987.2332686198,-1.82128935260558,0.357429488664391,-5.09552068412487,3.47784044426861e-07,0.000133733194024611,"Downregulated","PRR11","proline rich 11 [Source:HGNC Symbol;Acc:HGNC:25619]"
"ENSG00000070404",1398.31207342048,-1.7588633065619,0.443310302843741,-3.96756695091265,7.26101176880959e-05,0.00624542551746162,"Downregulated","FSTL3","follistatin like 3 [Source:HGNC Symbol;Acc:HGNC:3973]"
"ENSG00000070814",7062.44155765137,-1.17403224832019,0.23947993073512,-4.90242436899126,9.4661064797128e-07,0.00028180911288892,"Downregulated","TCOF1","treacle ribosome biogenesis factor 1 [Source:HGNC Symbol;Acc:HGNC:11654]"
"ENSG00000070886",32.0755806166866,-2.11568361248096,0.475858010924537,-4.44603970913598,8.7467787079276e-06,0.00139457786374933,"Downregulated","EPHA8","EPH receptor A8 [Source:HGNC Symbol;Acc:HGNC:3391]"
"ENSG00000071054",10716.6343101155,-1.10536406925963,0.303405780554446,-3.64318724330063,0.0002692828004395,0.014596199556161,"Downregulated","MAP4K4","mitogen-activated protein kinase kinase kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6866]"
"ENSG00000072041",536.738936907229,-4.32773106983989,1.09245698051384,-3.96146589479827,7.44910233733819e-05,0.00639039133585036,"Downregulated","SLC6A15","solute carrier family 6 member 15 [Source:HGNC Symbol;Acc:HGNC:13621]"
"ENSG00000072274",24124.1145609684,-1.16205406353864,0.308924357353785,-3.76161359852837,0.000168820715388748,0.0107771583642211,"Downregulated","TFRC","transferrin receptor [Source:HGNC Symbol;Acc:HGNC:11763]"
"ENSG00000072571",3110.78435701196,-1.89431559696959,0.357493338635581,-5.29888362171864,1.16512864667439e-07,5.51916374152932e-05,"Downregulated","HMMR","hyaluronan mediated motility receptor [Source:HGNC Symbol;Acc:HGNC:5012]"
"ENSG00000073008",2491.85315113059,-1.03476423572116,0.231834365671673,-4.46337725955004,8.06778214684954e-06,0.00131191770880486,"Downregulated","PVR","PVR cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:9705]"
"ENSG00000073060",3357.55246131525,-1.17809951786947,0.343313497033142,-3.43155607935725,0.000600129036269866,0.0240020605892413,"Downregulated","SCARB1","scavenger receptor class B member 1 [Source:HGNC Symbol;Acc:HGNC:1664]"
"ENSG00000074416",4613.16601867622,-1.46992508456109,0.424501638759264,-3.46270767966266,0.000534769038224283,0.0224954002758825,"Downregulated","MGLL","monoglyceride lipase [Source:HGNC Symbol;Acc:HGNC:17038]"
"ENSG00000075043",5.89366946705785,-2.37308616459877,0.679198571008495,-3.49395046735028,0.000475929311688885,0.0207079854755283,"Downregulated","KCNQ2","potassium voltage-gated channel subfamily Q member 2 [Source:HGNC Symbol;Acc:HGNC:6296]"
"ENSG00000076382",3045.34028594637,-1.139649185693,0.326343389831593,-3.49217793650151,0.000479098973876298,0.0207683686487358,"Downregulated","SPAG5","sperm associated antigen 5 [Source:HGNC Symbol;Acc:HGNC:13452]"
"ENSG00000078399",61.1842237018409,-3.19926890534859,0.64653554022536,-4.94832643574928,7.48542957498354e-07,0.000257538174377197,"Downregulated","HOXA9","homeobox A9 [Source:HGNC Symbol;Acc:HGNC:5109]"
"ENSG00000081181",339.754084487504,-1.05405539079021,0.334930779800901,-3.14708427638927,0.00164907423147631,0.0452941102989944,"Downregulated","ARG2","arginase 2 [Source:HGNC Symbol;Acc:HGNC:664]"
"ENSG00000082126",28.2032032362233,-3.86647003458225,0.799184306649968,-4.83802046963332,1.31138638706901e-06,0.000357188867177922,"Downregulated","MPP4","MAGUK p55 scaffold protein 4 [Source:HGNC Symbol;Acc:HGNC:13680]"
"ENSG00000082516",3511.32693924982,-1.06799067956462,0.268163219347746,-3.98261432780491,6.81613174565991e-05,0.00602122340829443,"Downregulated","GEMIN5","gem nuclear organelle associated protein 5 [Source:HGNC Symbol;Acc:HGNC:20043]"
"ENSG00000083454",105.04923184516,-2.34737201261148,0.534706950427044,-4.39001589700069,1.13342374610842e-05,0.00172306768100249,"Downregulated","P2RX5","purinergic receptor P2X 5 [Source:HGNC Symbol;Acc:HGNC:8536]"
"ENSG00000085999",1208.82238962843,-1.04475656287144,0.320640233021598,-3.25834519587898,0.00112063998864649,0.0352193442585678,"Downregulated","RAD54L","RAD54 like [Source:HGNC Symbol;Acc:HGNC:9826]"
"ENSG00000087303",1641.9779531506,-1.83376097502861,0.540625432460953,-3.39192510178673,0.0006940340915699,0.0265315839566809,"Downregulated","NID2","nidogen 2 [Source:HGNC Symbol;Acc:HGNC:13389]"
"ENSG00000087586",2612.5976018051,-1.0336018556241,0.293288137235412,-3.52418568772341,0.000424786451234014,0.0195002038744154,"Downregulated","AURKA","aurora kinase A [Source:HGNC Symbol;Acc:HGNC:11393]"
"ENSG00000089116",4.57269531836295,-3.09872049133331,0.963426280749488,-3.21635453926241,0.00129830331177211,0.0382297691398841,"Downregulated","LHX5","LIM homeobox 5 [Source:HGNC Symbol;Acc:HGNC:14216]"
"ENSG00000090932",212.37526950494,-1.92990894569855,0.593547418228079,-3.25148233558141,0.00114804909348467,0.0355677579341671,"Downregulated","DLL3","delta like canonical Notch ligand 3 [Source:HGNC Symbol;Acc:HGNC:2909]"
"ENSG00000091129",4881.09412818333,-2.10812622433196,0.560618858338111,-3.76035553028175,0.000169672041302171,0.0108103911695155,"Downregulated","NRCAM","neuronal cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:7994]"
"ENSG00000091136",11957.4606260507,-1.50270680390264,0.420087037911204,-3.5771320423847,0.000347384718090465,0.0168460971970131,"Downregulated","LAMB1","laminin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6486]"
"ENSG00000091656",706.500744543482,-3.18819901503978,0.634432135489373,-5.02527983167269,5.02698989174897e-07,0.000186712687058881,"Downregulated","ZFHX4","zinc finger homeobox 4 [Source:HGNC Symbol;Acc:HGNC:30939]"
"ENSG00000099625",211.470403473417,-2.60236575674523,0.545120700173641,-4.77392576711227,1.80668999287298e-06,0.000454243557054258,"Downregulated","CBARP","CACN subunit beta associated regulatory protein [Source:HGNC Symbol;Acc:HGNC:28617]"
"ENSG00000100311",2082.37625710191,-1.60936495624157,0.407433293798184,-3.950008457185,7.81484318623938e-05,0.00658092429288654,"Downregulated","PDGFB","platelet derived growth factor subunit B [Source:HGNC Symbol;Acc:HGNC:8800]"
"ENSG00000100473",164.80217199191,-2.09144397072325,0.547003854953643,-3.8234538052762,0.000131595255675348,0.0092102589544941,"Downregulated","COCH","cochlin [Source:HGNC Symbol;Acc:HGNC:2180]"
"ENSG00000100504",6083.14839339852,-1.08860415396383,0.34526067646927,-3.15299200909931,0.00161606230603638,0.0446878142747878,"Downregulated","PYGL","glycogen phosphorylase L [Source:HGNC Symbol;Acc:HGNC:9725]"
"ENSG00000101187",889.514069672198,-3.12341920876108,0.557763593210738,-5.59989796175342,2.14478013972332e-08,1.49153486950759e-05,"Downregulated","SLCO4A1","solute carrier organic anion transporter family member 4A1 [Source:HGNC Symbol;Acc:HGNC:10953]"
"ENSG00000101210",149.883773038498,-2.87726830249129,0.562158875225663,-5.11824757963003,3.08387615638106e-07,0.00011999582401347,"Downregulated","EEF1A2","eukaryotic translation elongation factor 1 alpha 2 [Source:HGNC Symbol;Acc:HGNC:3192]"
"ENSG00000101213",766.920228940884,-2.31857470060999,0.650720711468095,-3.56308729651318,0.000366518726586343,0.0175654905842736,"Downregulated","PTK6","protein tyrosine kinase 6 [Source:HGNC Symbol;Acc:HGNC:9617]"
"ENSG00000101311",1867.24113255228,-3.43007371715281,0.52310117577654,-6.55718984393581,5.48311928638896e-11,2.57356856104987e-07,"Downregulated","FERMT1","FERM domain containing kindlin 1 [Source:HGNC Symbol;Acc:HGNC:15889]"
"ENSG00000101333",2905.82191763643,-1.80234389755056,0.495454594477361,-3.63775796539295,0.000275021684214741,0.0147719896880432,"Downregulated","PLCB4","phospholipase C beta 4 [Source:HGNC Symbol;Acc:HGNC:9059]"
"ENSG00000102780",1430.20706188331,-1.41488397089117,0.357469154232769,-3.95805890980415,7.55613240541264e-05,0.00644835999140763,"Downregulated","DGKH","diacylglycerol kinase eta [Source:HGNC Symbol;Acc:HGNC:2854]"
"ENSG00000103187",8333.18061912775,-1.31340412892828,0.354997267479599,-3.69975841857362,0.000215804796753573,0.0126408239818827,"Downregulated","COTL1","coactosin like F-actin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:18304]"
"ENSG00000103257",5755.14475927188,-2.0006212674835,0.437293338730116,-4.57500970239617,4.76197917596742e-06,0.000899683753563555,"Downregulated","SLC7A5","solute carrier family 7 member 5 [Source:HGNC Symbol;Acc:HGNC:11063]"
"ENSG00000103335",5141.79780443374,-1.65021427397047,0.383886191675522,-4.29870703806223,1.71797375248112e-05,0.0023107807448496,"Downregulated","PIEZO1","piezo type mechanosensitive ion channel component 1 (Er blood group) [Source:HGNC Symbol;Acc:HGNC:28993]"
